Supplier,ProductSKU,ProductName,ItemType,ComponentSKU_ResourceCode,ComponentName_ResourceName,Quantity
Motovotano LLC,BB-24BAGS,Blackberry Tea Retail 24 CT,FinishedProduct,BB-24BAGS,Blackberry Tea Retail 24 CT,1
Motovotano LLC,BB-24BAGS,Blackberry Tea Retail 24 CT,Component,PKG-BB-24BAGS,BB-24BAGS Packaging,1
Motovotano LLC,BB-24BAGS,Blackberry Tea Retail 24 CT,Component,FG-BB-LB,Blackberry Tea 1 Lb,0.1587
Motovotano LLC,BBGT-24BAGS,Blueberry Green Tea Retail 24 CT,FinishedProduct,BBGT-24BAGS,Blueberry Green Tea Retail 24 CT,1
Motovotano LLC,BBGT-24BAGS,Blueberry Green Tea Retail 24 CT,Component,PKG-BBGT-24BAGS,BBGT-24BAGS Packaging,1
Motovotano LLC,BBGT-24BAGS,Blueberry Green Tea Retail 24 CT,Component,FG-BBGT-LB,Blueberry Green 1 Lb,0.1587
Motovotano LLC,BBGT-LL,Blueberry Green Tea Loose Leaf 6 Ounces,FinishedProduct,BBGT-LL,Blueberry Green Tea Loose Leaf 6 Ounces,1
Motovotano LLC,BBGT-LL,Blueberry Green Tea Loose Leaf 6 Ounces,Component,PKG-BBGT-LL,BBGT-LL Packaging,1
Motovotano LLC,BBGT-LL,Blueberry Green Tea Loose Leaf 6 Ounces,Component,FG-BBGT-LB,Blueberry Green 1 Lb,0.375
Motovotano LLC,BB-LL,Blackberry Tea Loose Leaf 6 Ounces,FinishedProduct,BB-LL,Blackberry Tea Loose Leaf 6 Ounces,1
Motovotano LLC,BB-LL,Blackberry Tea Loose Leaf 6 Ounces,Component,PKG-BB-LL,BB-LL Packaging,1
Motovotano LLC,BB-LL,Blackberry Tea Loose Leaf 6 Ounces,Component,FG-BB-LB,Blackberry Tea 1 Lb,0.375
Motovotano LLC,BT-24BAGS,Blue Tea Retail 24 CT,FinishedProduct,BT-24BAGS,Blue Tea Retail 24 CT,1
Motovotano LLC,BT-24BAGS,Blue Tea Retail 24 CT,Component,PKG-BT-24BAGS,BT-24BAGS Packaging,1
Motovotano LLC,BT-24BAGS,Blue Tea Retail 24 CT,Component,FG-BT-LB,Blue Tea 1 Lb,0.1482
Motovotano LLC,BT-LL,Blue Tea Loose Leaf 6 Ounces,FinishedProduct,BT-LL,Blue Tea Loose Leaf 6 Ounces,1
Motovotano LLC,BT-LL,Blue Tea Loose Leaf 6 Ounces,Component,PKG-BT-LL,BT-LL Packaging,1
Motovotano LLC,BT-LL,Blue Tea Loose Leaf 6 Ounces,Component,FG-BT-LB,Blue Tea 1 Lb,0.375
Motovotano LLC,CA-24BAGS,Coconut Assam Retail 24 CT,FinishedProduct,CA-24BAGS,Coconut Assam Retail 24 CT,1
Motovotano LLC,CA-24BAGS,Coconut Assam Retail 24 CT,Component,PKG-CA-24BAGS,CA-24BAGS Packaging,1
Motovotano LLC,CA-24BAGS,Coconut Assam Retail 24 CT,Component,FG-CA-LB,Coconut Assam 1 Lb,0.1587
Motovotano LLC,CA-LL,Coconut Assam Loose Leaf 6 Ounces,FinishedProduct,CA-LL,Coconut Assam Loose Leaf 6 Ounces,1
Motovotano LLC,CA-LL,Coconut Assam Loose Leaf 6 Ounces,Component,PKG-CA-LL,CA-LL Packaging,1
Motovotano LLC,CA-LL,Coconut Assam Loose Leaf 6 Ounces,Component,FG-CA-LB,Coconut Assam 1 Lb,0.375
Motovotano LLC,CC-24BAGS,Citrus Chamomile Retail 24 CT,FinishedProduct,CC-24BAGS,Citrus Chamomile Retail 24 CT,1
Motovotano LLC,CC-24BAGS,Citrus Chamomile Retail 24 CT,Component,PKG-CC-24BAGS,CC-24BAGS Packaging,1
Motovotano LLC,CC-24BAGS,Citrus Chamomile Retail 24 CT,Component,FG-CC-LB,Citrus Chamomile 1 Lb,0.1058
Motovotano LLC,CCHAI-24BAGS,Coconut Chai Retail 24 CT,FinishedProduct,CCHAI-24BAGS,Coconut Chai Retail 24 CT,1
Motovotano LLC,CCHAI-24BAGS,Coconut Chai Retail 24 CT,Component,PKG-CCHAI-24BAGS,CCHAI-24BAGS Packaging,1
Motovotano LLC,CCHAI-24BAGS,Coconut Chai Retail 24 CT,Component,FG-CCHAI-LB,Coconut Chai 1 Lb,0.2646
Motovotano LLC,CCHAI-LL,Coconut Chai Loose Leaf 8 Ounces,FinishedProduct,CCHAI-LL,Coconut Chai Loose Leaf 8 Ounces,1
Motovotano LLC,CCHAI-LL,Coconut Chai Loose Leaf 8 Ounces,Component,PKG-CCHAI-LL,CCHAI-LL Packaging,1
Motovotano LLC,CCHAI-LL,Coconut Chai Loose Leaf 8 Ounces,Component,FG-CCHAI-LB,Coconut Chai 1 Lb,0.5
