Supplier,ProductSKU,ProductName,ItemType,ComponentSKU_ResourceCode,ComponentName_ResourceName,Quantity
Whole Herb Company,FG-BBGT-LB,Blueberry Green 1 Lb,Component,RM-GreenTeaChunMee,Green Tea (Chun Mee),0.9384
Whole Herb Company,FG-BBGT-LB,Blueberry Green 1 Lb,Component,RM-F-Blueberry,Blueberry Flavoring,0.0416
Whole Herb Company,FG-BBGT-LB,Blueberry Green 1 Lb,FinishedProduct,FG-BBGT-LB,Blueberry Green 1 Lb,1.0000
Whole Herb Company,FG-BB-LB,Blackberry Tea 1 Lb,Component,RM-BlackTea,Black Tea,0.9600
Whole Herb Company,FG-BB-LB,Blackberry Tea 1 Lb,Component,RM-F-Blackberry,Blackberry Flavoring,0.0208
Whole Herb Company,FG-BB-LB,Blackberry Tea 1 Lb,FinishedProduct,FG-BB-LB,Blackberry Tea 1 Lb,1.0000
Whole Herb Company,FG-BT-LB,Blue Tea 1 Lb,Component,RM-BlackTea,Black Tea,0.6000
Whole Herb Company,FG-BT-LB,Blue Tea 1 Lb,Component,RM-F-Passionfruit,Passionfruit Flavoring,0.0150
Whole Herb Company,FG-BT-LB,Blue Tea 1 Lb,Component,RM-F-Lemom,Lemon Flavoring,0.0012
Whole Herb Company,FG-BT-LB,Blue Tea 1 Lb,FinishedProduct,FG-BT-LB,Blue Tea 1 Lb,1.0000
Whole Herb Company,FG-CA-LB,Coconut Assam 1 Lb,Component,RM-AssamBlackTea,Assam Black Tea,0.8936
Whole Herb Company,FG-CA-LB,Coconut Assam 1 Lb,Component,RM-F-Coconut,Coconut Flavoring,0.0558
Whole Herb Company,FG-CA-LB,Coconut Assam 1 Lb,FinishedProduct,FG-CA-LB,Coconut Assam 1 Lb,1.0000
Whole Herb Company,FG-CCHAI-LB,Coconut Chai 1 Lb,Component,RM-BlackTea,Black Tea,0.2332
Whole Herb Company,FG-CCHAI-LB,Coconut Chai 1 Lb,Component,RM-F-Cardamom,Cardamom Flavoring,0.0073
Whole Herb Company,FG-CCHAI-LB,Coconut Chai 1 Lb,Component,RM-F-Coconut,Coconut Flavoring,0.0294
Whole Herb Company,FG-CCHAI-LB,Coconut Chai 1 Lb,FinishedProduct,FG-CCHAI-LB,Coconut Chai 1 Lb,1.0000
