SKU,Supplier,Product,Unit Cost
RM-F-Bergamot,Flavor Dynamics,Bergamot Flavoring,$91.75
RM-F-Cardamom,Flavor Dynamics,Cardamom Flavoring,$33.95
RM-F-CedarTip,Flavor Dynamics,Cedar Tip Flavoring,$11.95
RM-F-Lemom,Flavor Dynamics,Lemon Flavoring,$34.40
RM-F-OrangeCinnamon,Flavor Dynamics,Orange Cinnamon Flavoring,$123.00
RM-AssamBlackTea,GS Haly,Assam Black Tea,$5.76
RM-BlackTea,GS Haly,Black Tea,$3.18
RM-CeylonBlackTea,GS Haly,Ceylon Black Tea,$6.97
RM-GenmaichaTea,GS Haly,Genmaicha Tea,$9.66
RM-GreenTeaChunMee,GS Haly,Green Tea (Chun Mee),$2.91
RM-KeemunCongouTea,GS Haly,Keemun Congou Tea,$6.28
RM-LapsangSouchongTea,GS Haly,Lapsang Souchong Tea,$5.97
RM-RooibosTea,GS Haly,Rooibos Tea,$3.94
BB-24BAGS,Motovotano LLC,Blackberry Tea Retail 24 CT,$1.71
BB-LL,Motovotano LLC,Blackberry Tea Loose Leaf 6 Ounces,$0.74
BBGT-24BAGS,Motovotano LLC,Blueberry Green Tea Retail 24 CT,$1.71
BBGT-LL,Motovotano LLC,Blueberry Green Tea Loose Leaf 6 Ounces,$0.74
BT-24BAGS,Motovotano LLC,Blue Tea Retail 24 CT,$1.71
BT-LL,Motovotano LLC,Blue Tea Loose Leaf 6 Ounces,$0.74
CA-24BAGS,Motovotano LLC,Coconut Assam Retail 24 CT,$1.71
CA-LL,Motovotano LLC,Coconut Assam Loose Leaf 6 Ounces,$0.74
CC-24BAGS,Motovotano LLC,Citrus Chamomile Retail 24 CT,$1.71
CC-LL,Motovotano LLC,Citrus Chamomile Loose Leaf 3 Ounces,$0.74
CCHAI-24BAGS,Motovotano LLC,Coconut Chai Retail 24 CT,$1.71
CCHAI-LL,Motovotano LLC,Coconut Chai Loose Leaf 8 Ounces,$0.74
CF-24BAGS,Motovotano LLC,Campfire Blend Retail 24 CT,$1.71
CF-LL,Motovotano LLC,Campfire Blend Loose Leaf 6 Ounces,$0.74
CM-24BAGS,Motovotano LLC,Chamomile Mint Retail 24 CT,$1.71
CM-LL,Motovotano LLC,Chamomile Mint Loose Leaf 3 Ounces,$0.74
DT-24BAGS,Motovotano LLC,Detox Tea Retail 24 CT,$1.71
DT-LL,Motovotano LLC,Detox Tea Loose Leaf 4 Ounces,$0.74
EB-24BAGS,Motovotano LLC,English Breakfast Retail 24 CT,$1.71
EB-LL,Motovotano LLC,English Breakfast Loose Leaf 6 Ounces,$0.74
EG-24BAGS,Motovotano LLC,Earl Grey Retail 24 CT,$1.71
EG-LL,Motovotano LLC,Earl Grey Loose Leaf 6 Ounces,$0.74
EGC-24BAGS,Motovotano LLC,Earl Grey Chai Retail 24 CT,$1.71
EGC-LL,Motovotano LLC,Earl Grey Chai Loose Leaf 8 Ounces,$0.74
FCSC-24BAGS,Motovotano LLC,Fresh Crafted Spiced Chai Retail 24 CT,$1.71
FCSC-LL,Motovotano LLC,Fresh Crafted Spiced Chai Loose Leaf 8 Ounces,$0.74
