Component SKU,Supplier,Product,UOM,On Hand,Notes,Incoming (Open),Allocated,Available Now,Available Future
RM-AssamBlackTea,GS Haly,Assam Black Tea,lb,,,,,,
RM-BlackTea,GS Haly,Black Tea,lb,,,,,,
RM-CeylonBlackTea,GS Haly,Ceylon Black Tea,lb,,,,,,
RM-GenmaichaTea,GS Haly,Genmaicha Tea,lb,,,,,,
RM-GreenTeaChunMee,GS Haly,Green Tea (Chun Mee),lb,,,,,,
RM-KeemunCongouTea,GS Haly,Keemun Congou Tea,lb,,,,,,
RM-LapsangSouchongTea,GS Haly,Lapsang Souchong Tea,lb,,,,,,
RM-RooibosTea,GS Haly,Rooibos Tea,lb,,,,,,
RM-ChamomileFlower,,,lb,,,,,,
RM-F-Bergamot,Flavor Dynamics,Bergamot Flavoring,lb,,,,,,
RM-F-Cardamom,Flavor Dynamics,Cardamom Flavoring,lb,,,,,,
RM-F-CedarTip,Flavor Dynamics,Cedar Tip Flavoring,lb,,,,,,
RM-F-Lemom,Flavor Dynamics,Lemon Flavoring,lb,,,,,,
RM-F-OrangeCinnamon,Flavor Dynamics,Orange Cinnamon Flavoring,lb,,,,,,
RM-F-Blackberry,Nature's Flavors,Blackberry Flavoring,lb,,,,,,
RM-F-Blueberry,Nature's Flavors,Blueberry Flavoring,lb,,,,,,
RM-F-Coconut,Nature's Flavors,Coconut Flavoring,lb,,,,,,
RM-F-Jasmine,Nature's Flavors,Jasmine Flavoring,lb,,,,,,
RM-F-Mango,Nature's Flavors,Mango Flavoring,lb,,,,,,
RM-F-Mashmallow,Nature's Flavors,Marshmallow Flavoring,lb,,,,,,
RM-F-Papaya,Nature's Flavors,Papaya Flavoring,lb,,,,,,
RM-F-Passionfruit,Nature's Flavors,Passionfruit Flavoring,lb,,,,,,
RM-F-Peach,Nature's Flavors,Peach Flavoring,lb,,,,,,
RM-F-Pineapple,Nature's Flavors,Pineapple Flavoring,lb,,,,,,
RM-F-Strawberry,Nature's Flavors,Strawberry Flavoring,lb,,,,,,
RM-F-WildBerry,Nature's Flavors,Wild Berry Flavoring,lb,,,,,,
RM-PeppermintLeaf,Whole Herb Company,Peppermint Leaf,lb,,,,,,
